SN,SFR_L,SFR_R,sample
61A3B004805,572.8,507.52,35
61A3B003255,513.7067,580.0533,35
61A3B004585,421.5467,731.2593,35
61A3B002742,554.88,552.5906,36
61A3B003883,488.32,469.12,36
61A3B004790,589.9597,496.9664,36
61A3B005443,489.3867,476.3733,36
61A3B004781,571.3067,547.483,36
61A3B004757,536.32,524.16,37
61A3B005472,220.5638,588.9438,37
61A3B002744,485.3333,478.9333,37
61A3B002505,515.84,567.2533,37
61A3B005749,554.0267,512.64,37
61A3B005473,573.8667,535.8933,38
61A3B002658,541.6533,494.2933,38
61A3B004779,525.2267,513.28,38
61A3B000259,499.4133,449.7067,38
61A3B004109,558.1241,533.9733,38
61A3B000214,555.9467,538.0267,39
61A3B004911,553.8792,473.3867,39
61A3B003743,574.0408,567.2533,39
61A3B005690,550.1867,492.8,39
61A3B005716,554.0267,493.8667,39
61A3B000400,605.2713,550.6133,40
61A3B003103,528,472.7467,40
61A3B002754,558.585,540.8,40
61A3B002507,552.5333,512.2133,40
61A3B002735,549.12,536,40
61A3B006651,562.5507,534.4,41
61A3B002746,517.3333,499.2,41
61A3B004784,514.1333,519.2533,41
61A3B003464,497.1812,581.4054,41
61A3B006644,559.1467,477.8667,41
61A3B004164,559.1467,550.1867,42
61A3B005550,539.3067,517.9733,42
61A3B002741,586.0267,616.2424,42
61A3B003102,526.2933,500.4027,42
61A3B005445,529.28,508.5867,42
61A3B005446,543.5646,512,43
61A3B002876,601.6,527.7808,43
61A3B005486,529.4933,501.76,43
61A3B004222,562.6667,583.3143,43
61A3B002560,552.7467,480,43
61A3B005721,557.0133,482.1333,44
61A3B004555,551.04,505.8133,44
61A3B005448,559.7867,525.0133,44
61A3B000853,533.5467,481.28,44
61A3B003664,289.7067,418.5197,44
61A3B002482,557.0133,524.3733,45
61A3B000856,540.8,512.4267,45
61A3B005439,536.1067,570.88,45
61A3B003746,504.7467,512.2133,45
61A3B000351,498.1333,413.44,45
61A3B004803,556.6259,569.6901,46
61A3B001483,587.8154,510.5067,46
61A3B006940,525.8667,556.0268,46
61A3B002508,576.8533,516.2667,46
61A3B002579,558.604,493.44,46
61A3B002438,559.36,516.0533,47
61A3B003057,531.84,526.5067,47
61A3B002532,553.4388,556.16,47
61A3B006755,558.1497,517.12,47
61A3B002478,518.8267,519.04,47
61A3B004788,587.52,522.88,48
61A3B006756,529.28,484.0533,48
61A3B002529,564.0533,536.4324,48
61A3B005408,532.2667,513.28,48
61A3B005726,552.1067,488.96,48
61A3B001249,567.8841,514.1333,49
61A3B000215,576.2319,502.8267,49
61A3B002511,563.3289,492.3733,49
61A3B002867,536.7467,492.5867,49
61A3B003069,542.5067,496.64,49
61A3B001482,511.36,566.731,50
61A3B001364,601.6667,570.24,50
61A3B002531,545.4118,507.3067,50
61A3B002865,542.9333,544.6667,50
61A3B005545,577.697,550.8267,50
61A3B004792,589.3154,484.0533,51
61A3B001739,576.4923,554.88,51
61A3B002759,569.8723,501.5467,51
61A3B002530,561.415,522.88,51
61A3B002868,564.48,495.1467,51
61A3B006942,355.6267,570.6667,52
61A3B003741,480.8533,491.9467,52
61A3B002506,554.6667,573.2267,52
61A3B003948,531.84,478.5067,52
61A3B003108,532.48,537.8133,52
61A3B002739,565.3333,561.3333,53
61A3B002751,572.5867,514.7733,53
