SN,SFR_L,SFR_R,sample
61A3B003493,549.12,620.3636,152
61A3B004123,574.08,634.8986,152
61A3B004128,559.0204,572.9103,152
61A3B002262,623.3043,562.3467,152
61A3B001843,246.9799,542.25,152
61A3B001817,537.863,641.9394,153
61A3B006593,529.0667,599.4965,153
61A3B006616,298.88,499.823,153
61A3B003468,288.6443,541.3818,153
61A3B005509,516.48,576,153
61A3B003498,262.7483,409.4815,154
61A3B006888,540.9524,624.9796,154
61A3B002228,412.5867,636.4746,154
61A3B005722,205.6216,390.5041,154
61A3B005511,448.8533,751.8505,154
61A3B005679,560.8533,504.32,155
61A3B005245,258.2857,587.102,155
61A3B002230,566.7027,564.8112,155
61A3B002850,273.5342,622.7862,155
61A3B002896,205.3953,693.7872,155
61A3B001921,230.8267,482.2588,156
61A3B006596,246.4,382.4262,156
61A3B002253,225.7067,417.4769,156
61A3B003470,215.8933,588.1008,156
61A3B002931,376.5333,633.3023,156
61A3B002803,265.8133,655.75,157
61A3B003495,223.1467,742.4962,157
61A3B006597,556.16,597.3333,157
61A3B004992,553.3867,596.6027,157
61A3B001831,169.6,442.3226,157
61A3B002251,540.3733,571.3285,158
61A3B002249,526.72,480.8533,158
61A3B002256,563.6267,499.84,158
61A3B004122,544.2286,569.557,158
61A3B001327,553.4897,475.0933,158
61A3B005720,291.3208,656.8533,159
61A3B001833,559.5733,524.4082,159
61A3B001815,584.4324,620,159
61A3B003615,516.6933,519.04,159
61A3B003494,251.3067,688.2286,159
61A3B004126,572.8,487.8933,160
61A3B002453,532.6933,506.6667,160
61A3B005686,545.0667,504.5333,160
61A3B006594,541.2267,503.4667,160
61A3B002455,200.5333,381.8182,160
61A3B005510,545.7067,478.08,161
61A3B002552,548.0805,567.8389,161
61A3B002257,543.7867,575.3333,161
61A3B006590,180.0533,406.1031,161
61A3B006578,538.24,746.8,161
61A3B002446,513.92,688.2909,162
61A3B002845,539.0933,637.6216,162
61A3B003487,303.4631,568.8,162
61A3B001820,288.4507,412.7244,162
61A3B002551,257.6,406.5455,162
61A3B003941,247.1351,400.9143,163
61A3B002252,215.4521,638.6667,163
61A3B002227,178.56,370.789,163
61A3B002459,202.6667,281.3913,163
61A3B003497,473.9866,684.5793,163
61A3B006879,565.76,576,164
61A3B001999,338.9867,525.0133,164
61A3B003488,542.2933,553.6,164
61A3B002932,225.2886,318.3505,164
61A3B002934,224,381.1429,164
61A3B003485,487.8933,736.9796,165
61A3B003584,596.1081,535.68,165
61A3B001876,600.338,573.8667,165
61A3B002933,222.9262,596.6222,165
61A3B002458,567.9389,570.0267,165
61A3B002447,500.2667,482.1333,166
61A3B001877,215.4667,370.4715,166
61A3B002454,245.3333,703.4667,166
61A3B006891,230.4,416,166
61A3B001928,550.5306,562.3467,166
61A3B006877,563.5918,554.0267,167
61A3B003939,573.1343,572.3733,167
61A3B006955,512.4267,509.8667,167
61A3B005247,559.36,563.4595,167
61A3B001879,307.4595,681.1765,167
61A3B006894,531.2,584.1067,168
61A3B001883,554.4397,493.44,168
61A3B001922,558.0146,575.7867,168
61A3B001818,597.4795,484.48,168
61A3B002898,344.7467,503.8933,168
61A3B006882,573.7778,548.7248,169
61A3B003942,297.3867,610.9091,169
61A3B006970,568.7671,540.16,169
61A3B002663,569.791,595.3289,169
61A3B003116,593.1163,496.2133,169
61A3B002804,543.5294,522.88,170
61A3B002456,503.8933,789.2048,170
61A3B006577,581.5467,592.8649,170
61A3B001961,595.3939,550.6133,170
61A3B001836,543.7867,491.7333,170
61A3B003944,201.3867,645.7436,171
61A3B006268,541.2267,596.48,171
61A3B001869,514.9867,500.2667,171
61A3B002217,267.0933,404.6545,171
61A3B006722,519.7315,510.9333,171
61A3B006559,516.9067,513.4933,172
61A3B006982,251.7333,619.5692,172
61A3B006291,204.8,367.4667,172
61A3B005682,542.2933,458.88,172
61A3B002310,410.6667,593.6271,172
61A3B006010,235.1888,641.203,173
61A3B005203,560.4267,475.3067,173
61A3B002350,546.56,545.0667,173
61A3B003067,576,554.0267,173
61A3B001484,567.68,484.0805,173
61A3B006379,159.7867,320.5203,174
61A3B006558,549.9733,479.1467,174
61A3B003472,567.9407,592.4444,174
61A3B005145,520.7467,560.8175,174
61A3B002525,544.2148,510.9333,174
61A3B004783,275.2,631.5214,175
61A3B004886,479.1467,462.5067,175
61A3B006753,362.8138,412.6197,175
61A3B002878,244.6933,425.4426,175
61A3B001742,258.9867,653.8824,175
61A3B006754,525.44,520.1067,176
61A3B000149,561.4933,476.5867,176
61A3B002283,562.1333,512.8533,176
61A3B003070,285.2081,580.2667,176
61A3B002509,503.8933,569.8207,176
61A3B006656,258.3467,665.2308,177
61A3B005190,261.5467,368.7619,177
61A3B006984,550.6133,500.2667,177
61A3B006527,182.1867,541.8667,177
61A3B005767,263.2533,342.1235,177
61A3B002893,602.9606,506.6667,178
61A3B006980,205.44,384.2623,178
61A3B001841,547.2,529.28,178
61A3B000189,604.0276,521.1733,178
61A3B006981,587.0933,579.6835,178
61A3B005054,248.698,365.0909,179
61A3B001014,543.36,497.92,179
61A3B006983,517.12,492.8,179
61A3B002221,269.8667,447.2195,179
61A3B006979,180.973,150.1867,179
61A3B001825,567.8933,496.2133,180
61A3B001884,245.3333,425.8462,180
61A3B006991,405.9733,479.7867,180
61A3B006580,616.5545,574.2703,180
61A3B006992,512.4267,529.28,180
61A3B001927,253.44,372.8485,181
61A3B005867,269.44,713.472,181
61A3B003501,570.6294,546.1333,181
61A3B002922,324.9067,652.4746,181
61A3B000044,580.028,556.16,181
61A3B006079,356.0533,650.4779,182
61A3B001881,527.5733,451.6267,182
61A3B000185,553.3867,466.9867,182
61A3B002258,247.5676,448.4923,182
61A3B001925,576.2207,516.2953,182
61A3B006985,552.7467,528.2133,183
61A3B002223,562.56,504.96,183
61A3B001819,260.2667,585.7185,183
61A3B006565,244.9067,472.678,183
61A3B000058,370.8993,700.6609,183
61A3B005192,517.3333,483.6267,184
61A3B001946,609.024,563.5436,184
61A3B005053,239.36,527.1724,184
61A3B004953,556.8,526.7027,184
61A3B006246,582.9371,521.6,184
61A3B001960,566.8267,611.0609,185
61A3B001951,541.4054,499.4133,185
61A3B001880,248.9128,508.0702,185
61A3B006566,567.9424,508.3733,185
61A3B000043,276.48,403.957,185
61A3B001035,239.5733,364.8627,186
61A3B001944,260.2667,709.1469,186
61A3B005187,267.7333,508.2205,186
61A3B002222,251.9467,458.4874,186
61A3B001254,247.8933,438.8197,186
61A3B001253,581.4737,581.12,187
61A3B001279,275.84,416.7619,187
61A3B006442,580.2667,590.1497,187
61A3B006078,284.8,432.5839,187
61A3B001930,533.76,496,187
61A3B001964,216.4494,316.058,188
61A3B004158,270.08,645.3782,188
61A3B002983,178.3784,216.2759,188
61A3B002986,220.3733,385.0579,188
61A3B004197,554.6667,573.44,188
61A3B006769,252.16,802.4889,189
61A3B006895,553.1733,509.44,189
61A3B006986,577.92,518.1867,189
61A3B005307,525.8667,708.1644,189
61A3B002273,305.92,691.8621,189
61A3B005075,253.4676,454.1069,190
61A3B006993,344.96,760.0602,190
61A3B004242,252.8,456.5138,190
61A3B004989,570.4533,617.6,190
61A3B004157,546.1333,461.8667,190
61A3B004455,440.5333,649.7589,191
61A3B004457,603.7113,509.44,191
61A3B004203,230.0134,391.5591,191
61A3B004461,231.6712,389.25,191
61A3B005863,269.2267,398.4225,191
61A3B005662,332.4179,508.7179,192
61A3B005429,587.7551,550.1867,192
61A3B001886,561.92,517.3333,192
61A3B006892,549.76,617.2055,192
61A3B000360,300.5867,658.5649,192
61A3B000357,325.9733,528.2133,193
61A3B002985,361.1733,449.6842,193
61A3B004264,215.68,369.9775,193
61A3B002920,621.6812,549.12,193
61A3B004121,418.3467,527.1467,193
61A3B001962,550.4,489.1733,194
61A3B001885,248.96,457.6744,194
61A3B001943,254.2933,406.7097,194
61A3B006898,565.12,689.3061,194
61A3B000409,548.4058,618.1622,194
61A3B001941,590.3893,639.36,195
61A3B002460,257.4933,454.4,195
61A3B001956,592.378,579.6267,195
61A3B006465,265.1733,451.1429,195
61A3B004245,232.5333,419.2897,195
61A3B006089,219.3067,438.229,196
61A3B006787,203.9467,402.9217,196
61A3B001957,266.0267,462.3673,196
61A3B000384,232.9863,664.9905,196
61A3B005595,109.8667,115.6267,196
61A3B006568,497.0667,613.6615,197
61A3B001887,289.7067,607.4182,197
61A3B006786,645.0732,508.5867,197
61A3B004151,522.24,507.52,197
61A3B006763,236.3733,424.186,197
61A3B003499,298.4533,458.314,198
61A3B001986,593.9291,486.1867,198
61A3B006761,278.4,607.1652,198
61A3B004263,568,498.1333,198
61A3B005837,260.48,498.0645,198
61A3B000355,232.5333,463.5077,199
61A3B003552,193.28,369.152,199
61A3B000411,314.6667,519.7913,199
61A3B001842,214.4,441.3217,199
61A3B001844,416.2133,613.0526,199
61A3B002014,235.3067,432.4752,200
61A3B004223,284.3733,579.3524,200
61A3B006904,256,428.9466,200
61A3B001991,401.3981,419.4783,200
61A3B002575,510.72,542.2933,200
61A3B001823,615.2329,561.415,201
61A3B005563,301.6533,687.2727,201
61A3B001989,334.2933,428.1379,201
61A3B001905,312.96,712.0808,201
61A3B001990,228.6933,394.843,201
61A3B002280,547.5804,763.5963,202
61A3B002425,489.6,551.8933,202
61A3B001998,209.4933,421.888,202
61A3B002013,170.0267,394.496,202
61A3B004310,218.88,411.9685,202
61A3B006880,269.8667,429.037,203
61A3B002219,263.68,443.5041,203
61A3B005838,246.4,364.1143,203
61A3B005676,257.5034,412.4724,203
61A3B003209,288.2133,437.1613,203
61A3B003931,207.7867,399.7377,204
61A3B006762,255.7823,712.7273,204
61A3B004226,267.9467,669.2374,204
61A3B001878,212.6803,390.5401,204
61A3B006771,343.1811,576.3516,204
61A3B005865,431.5733,475.4899,205
61A3B003502,224.2133,504,205
61A3B002248,259.3684,543.7311,205
61A3B004248,218.88,441.088,205
61A3B000358,556.8,599.2533,205
61A3B001959,234.4533,541.7822,206
61A3B001997,567.2533,550.1867,206
61A3B002259,219.3067,432.6838,206
61A3B006931,542.72,453.12,206
61A3B004145,236.3733,416,206
61A3B006772,545.0667,663.0631,207
61A3B003514,253.0133,442.6667,207
61A3B001834,247.4667,406.2476,207
61A3B001828,235.0933,473.6,207
61A3B005738,210.56,402.7119,207
61A3B006932,617.9858,501.3333,208
61A3B005479,282.88,641.9862,208
61A3B001826,207.7867,399.292,208
61A3B000141,255.1293,397.1765,208
61A3B001992,533.5467,549.12,208
61A3B005483,262.6133,440.8889,209
61A3B005868,303.1467,550.4,209
61A3B000144,253.8231,586.2857,209
61A3B006905,628.2817,555.9467,209
61A3B000142,248.2162,400.4776,209
61A3B002629,131.5556,594.5806,210
61A3B005481,368.64,620.3636,210
61A3B002519,275.6267,494.4696,210
61A3B005736,320.2133,408,210
61A3B002576,343.7838,567.6712,210
61A3B003512,225.7067,377.2632,211
61A3B001017,241.92,391.1405,211
61A3B001821,170.965,401.6552,211
61A3B005485,561.7231,594.1333,211
61A3B006897,376.1067,754.087,211
61A3B006094,275.027,599.395,212
61A3B005866,577.28,744.1702,212
61A3B005566,554.88,566.1867,212
61A3B006331,247.04,330.6667,212
61A3B005482,493.0133,618.2069,212
61A3B006017,222.9333,377.8462,213
61A3B003551,207.1467,397.0169,213
61A3B000240,551.8933,522.4533,213
61A3B002267,193.7181,266.6667,213
61A3B000383,535.04,524.3733,213
61A3B002275,228.0533,407.0508,214
61A3B002806,220.8,402.8718,214
61A3B003490,533.9733,549.3333,214
61A3B000143,251.7333,455.2605,214
61A3B005248,243.2,416.5039,214
61A3B001888,182.9517,720,215
61A3B001390,227.84,349.1148,215
61A3B006934,234.6667,410.566,215
61A3B001822,273.0667,401.3858,215
61A3B005735,575.5077,521.8133,215
61A3B003513,276.48,434.2519,216
61A3B002634,556.16,509.8667,216
61A3B001987,552.32,533.9733,216
61A3B006764,616.2222,574.6759,216
61A3B002426,220.4932,420.2667,216
61A3B001392,207.5733,573.3084,217
61A3B000855,213.12,327.7949,217
61A3B006339,501.5467,689.92,217
61A3B005029,594.7733,491.7333,217
61A3B005128,276.48,434.688,217
61A3B002517,242.3467,407.7876,218
61A3B005130,308.0533,641.7778,218
61A3B005356,207.7867,403.5398,218
61A3B003287,259.4362,371.8835,218
61A3B001988,533.12,504.1067,218
61A3B000031,273.4933,492.6792,219
61A3B006526,603.6692,465.28,219
61A3B006874,229.12,411.3103,219
61A3B005094,290.6122,700.1081,219
61A3B001389,549.3333,538.4533,219
61A3B001090,469.76,523.3067,220
61A3B001281,281.1733,449.0756,220
61A3B001368,553.1733,532.2667,220
61A3B006390,261.9733,694.8174,220
61A3B005092,584.8615,506.0267,220
61A3B000070,305.9459,586.0267,221
61A3B006466,376.32,659.8919,221
61A3B002596,524.5867,523.3067,221
61A3B005002,560.8058,520.1067,221
61A3B002264,269.8667,409.9528,221
61A3B006896,147.4133,382.2703,222
61A3B002224,266.0267,618.3619,222
61A3B002250,213.4135,452.9836,222
61A3B000062,252.16,708.4959,222
61A3B001034,363.7333,791.8195,222
61A3B005882,536.96,530.7733,223
61A3B005061,590.0274,491.52,223
61A3B005355,297.6,439.1429,223
61A3B001097,341.3333,664.0792,223
61A3B005004,347.9467,525.0133,223
61A3B004259,539.3067,474.24,224
61A3B001216,294.8267,728.5161,224
61A3B003288,376.5333,633.7049,224
61A3B006721,594.9333,457.8133,224
61A3B005820,673.7778,559.8912,224
61A3B005871,258.5772,401.3858,225
61A3B003492,245.3333,628.2105,225
61A3B005855,549.3333,605.9747,225
61A3B001375,287.7867,488.2759,225
61A3B001871,583.8769,546.7733,225
61A3B000695,288.2133,363.4872,226
61A3B004981,286.72,473.2308,226
61A3B000372,270.2703,366.6767,226
61A3B002895,267.7333,422.4,226
61A3B005547,551.2533,548.3025,226

